접수년도,자치구코드,자치구명,법정동코드,법정동명,지번구분코드,지번구분,본번,부번,층,계약일,전월세구분,임대면적,보증금(만원),임대료(만원),건물명,건축년도,건물용도,주소,위도,경도,제곱미터당전세가,평당전세가
2015,11200,성동구,11300,옥수동,1,대지,428,0,2.0,20150610,전세,148.23,52000,0,극동,1986.0,아파트,성동구 옥수동 428,37.5432656,127.0115516,350.81,106.12
2014,11710,송파구,10500,석촌동,1,대지,155,10,4.0,20140708,월세,66.1,7000,50,CASABUENA(155-10),2003.0,연립다세대,송파구 석촌동 155-10,37.506007,127.1018302,105.9,32.03
2015,11530,구로구,10600,고척동,1,대지,327,0,5.0,20150428,전세,59.9,22000,0,동아한신,2000.0,아파트,구로구 고척동 327,37.5009135,126.8651312,367.28,111.1
2017,11500,강서구,10200,등촌동,1,대지,694,0,19.0,20171016,전세,89.98,43000,0,대림,1995.0,아파트,강서구 등촌동 694,37.5626457,126.8466558,477.88,144.56
2021,11320,도봉구,10800,도봉동,1,대지,556,90,1.0,20210722,전세,56.67,17500,0,도봉산그린맨션,2001.0,연립다세대,도봉구 도봉동 556-90,37.68708,127.0439934,308.81,93.41
2011,11710,송파구,10700,가락동,1,대지,127,18,3.0,20110218,월세,50.76,10000,45,(127-18),2006.0,연립다세대,송파구 가락동 127-18,37.4929359,127.1260133,197.01,59.59
2013,11320,도봉구,10700,창동,1,대지,810,0,8.0,20120612,월세,39.6,1500,50,신창,1998.0,아파트,도봉구 창동 810,37.6407406,127.0418442,37.88,11.46
2012,11650,서초구,10200,양재동,1,대지,356,4,4.0,20120114,월세,25.24,10000,10,(356-4),2011.0,연립다세대,서초구 양재동 356-4,37.4675485,127.0440337,396.2,119.85
2015,11680,강남구,10800,논현동,1,대지,6,17,5.0,20150404,월세,50.16,18000,20,(6-17),2003.0,연립다세대,강남구 논현동 6-17,37.5184418,127.0263225,358.85,108.55
2011,11380,은평구,10800,역촌동,1,대지,187,37,1.0,20110706,전세,84.66,12000,0,"무진빌라(가,나동)",1986.0,연립다세대,은평구 역촌동 187-37,37.601895,126.9071468,141.74,42.88
2013,11350,노원구,10300,공릉동,1,대지,509,10,3.0,20130212,월세,12.23,3000,20,아이파크,2013.0,연립다세대,노원구 공릉동 509-10,37.6252088,127.0762865,245.3,74.2
2013,11305,강북구,10200,번동,1,대지,234,0,2.0,20130320,전세,49.94,12000,0,주공4단지,1991.0,아파트,강북구 번동 234,37.63085090000001,127.0392541,240.29,72.69
2021,11545,금천구,10200,독산동,1,대지,1065,40,2.0,20210723,월세,52.59,2619,22,동원시티,2015.0,연립다세대,금천구 독산동 1065-40,37.4614097,126.8994074,49.8,15.06
2022,11350,노원구,10300,공릉동,1,대지,725,0,14.0,20220512,전세,84.99,43000,0,풍림아파트A,2001.0,아파트,노원구 공릉동 725,37.6291633,127.0668178,505.94,153.05
2015,11680,강남구,10800,논현동,1,대지,251,3,3.0,20141219,월세,111.23,30000,100,해피드림하우스,2014.0,연립다세대,강남구 논현동 251-3,37.5133129,127.0380469,269.71,81.59
2015,11710,송파구,10300,풍납동,1,대지,219,0,6.0,20150627,월세,63.39,3000,100,미성,1985.0,아파트,송파구 풍납동 219,37.5341793,127.1137529,47.33,14.32
2020,11590,동작구,10700,사당동,1,대지,442,20,4.0,20200606,전세,52.74,22000,0,신영하이츠빌라,1991.0,연립다세대,동작구 사당동 442-20,37.4785566,126.9741246,417.14,126.19
2019,11215,광진구,10500,자양동,1,대지,227,77,6.0,20190626,전세,51.5,36000,0,대원빌16차,2019.0,연립다세대,광진구 자양동 227-77,37.5377184,127.0754198,699.03,211.46
2021,11740,강동구,10300,상일동,1,대지,514,0,10.0,20211229,전세,59.98,40950,0,고덕롯데캐슬베네루체,2019.0,아파트,강동구 상일동 514,37.5492243,127.1676679,682.73,206.53
2015,11560,영등포구,11000,여의도동,1,대지,41,0,9.0,20150702,전세,133.65,50000,0,대교,1975.0,아파트,영등포구 여의도동 41,37.5221509,126.9336845,374.11,113.17
2020,11545,금천구,10300,시흥동,1,대지,883,11,8.0,20201226,전세,22.92,8400,0,금천리메인시티,2018.0,오피스텔,금천구 시흥동 883-11,37.453905,126.9013689,366.49,110.86
2014,11230,동대문구,10200,용두동,1,대지,792,0,9.0,20140304,전세,59.98,31000,0,래미안 허브리츠,2011.0,아파트,동대문구 용두동 792,37.575348,127.0360378,516.84,156.34
2011,11500,강서구,10900,방화동,1,대지,839,0,5.0,20110226,전세,49.77,12000,0,방화그린,1993.0,아파트,강서구 방화동 839,37.5747818,126.8189606,241.11,72.94
2020,11590,동작구,10500,흑석동,1,대지,336,0,7.0,20200307,전세,59.84,60000,0,흑석한강푸르지오,2012.0,아파트,동작구 흑석동 336,37.5032111,126.9654423,1002.67,303.31
2015,11590,동작구,10900,신대방동,1,대지,627,2,2.0,20150305,전세,64.82,13000,0,신보빌라,1985.0,연립다세대,동작구 신대방동 627-2,37.4891558,126.9120963,200.56,60.67
2016,11560,영등포구,10100,영등포동,1,대지,647,0,21.0,20160104,월세,59.91,15000,60,영등포푸르지오,2002.0,아파트,영등포구 영등포동 647,37.51153310000001,126.90239,250.38,75.74
2018,11350,노원구,10300,공릉동,1,대지,81,0,13.0,20180908,전세,49.6,22500,0,태강아파트,1999.0,아파트,노원구 공릉동 81,37.6234994,127.0831875,453.63,137.22
2012,11680,강남구,10500,삼성동,1,대지,25,21,3.0,20120512,전세,53.23,17000,0,은혜주택,2002.0,연립다세대,강남구 삼성동 25-21,37.5147446,127.0497993,319.37,96.61
2022,11710,송파구,10800,문정동,1,대지,110,7,4.0,20220222,월세,152.03,15000,117,크로바맨션,1992.0,아파트,송파구 문정동 110-7,37.4867224,127.1320561,98.66,29.85
